da	だ
di	ぢ
du	づ
de	で
do	ど

dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ

dha	でゃ
dhi	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ

dwa	どぁ
dwi	どぃ
dwu	どぅ
dwe	どぇ
dwo	どぉ
