sa	さ
si	し
su	す
se	せ
so	そ
s'	さい
s,	そう
s.	せい
sp	すう
s;	さん
sq	そん
sj	せん
sk	すん
sx	しん

sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
sy'	しゃい
sy,	しょう
sy.	しぇい
syp	しゅう
sy;	しゃん
syq	しょん
syj	しぇん
syk	しゅん
syx	しん

sha	しゃ
shi	し
shu	しゅ
she	しぇ
sho	しょ
sh'	しゃい
sh,	しょう
sh.	しぇい
shp	しゅう
sh;	しゃん
shq	しょん
shj	しぇん
shk	しゅん
shx	しん

swa	すぁ
swi	すぃ
swu	すぅ
swe	すぇ
swo	すぉ
sw'	すぁい
sw,	すぉう
sw.	すぇい
swp	すぅう
sw;	すぁん
swq	すぉん
swj	すぇん
swk	すゅん
swx	すん
