ma	ま
mi	み
mu	む
me	め
mo	も
m'	まい
m,	もう
m.	めい
mp	むう
m;	まん
mq	もん
mj	めん
mk	むん
mx	みん

mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
my'	みゃい
my,	みょう
my.	みぇい
myp	みゅう
my;	みゃん
myq	みょん
myj	みぇん
myk	みゅん
myx	みぃん

mna	みゃ
mni	みぃ
mnu	みゅ
mne	みぇ
mno	みょ
mn'	みゃい
mn,	みょう
mn.	みぇい
mnp	みゅう
mn;	みゃん
mnq	みょん
mnj	みぇん
mnk	みゅん
mnx	みぃん
