qa	くぁ
qi	くぃ
qu	く
qe	くぇ
qo	くぉ
q'	くぁい
q,	くぉう
q.	くぇい
qp	くう
# qq
q;	くぁん
qj	くぇん
qk	くん
qx	くぃん
