ca	か
ci	き
cu	く
ce	け
co	こ

cha	ちゃ
chi	ち
chu	ちゅ
che	ちぇ
cho	ちょ

cya	ちゃ
cyi	ちぃ
cyu	ちゅ
cye	ちぇ
cyo	ちょ
