bb	っb
cc	っc
dd	っd
ff	っf
gg	っg
hh	っh
jj	っj
kk	っk
ll	っl
mm	っm
pp	っp
qq	っq
rr	っr
ss	っs
tt	っt
vv	っv
ww	っw
xx	っx
yy	っy
zz	っz
